TSNE1,TSNE2,KMeans_Cluster
17.588604,-0.5187074,1
52.099834,-28.015373,1
-3.3134527,-45.8913,0
7.1422057,2.9477134,1
-27.6735,6.928829,0
10.526992,-6.2625127,1
-7.330087,34.027397,0
62.22218,1.7176558,1
-2.0826385,8.967906,0
49.589394,-17.232872,1
-25.089344,36.773247,0
-29.868376,-42.1715,0
33.28364,-25.879045,1
60.88701,8.485234,1
-42.36452,34.139854,0
68.01346,2.7848458,1
10.2401705,-43.688683,1
53.20844,1.2001629,1
-33.3998,-4.9125347,0
-31.473625,-42.879765,0
33.70592,-24.154568,1
28.212654,-32.47942,1
40.874237,-11.12586,1
-17.392784,38.88434,0
0.20521092,-5.224044,1
24.147863,-16.578392,1
-9.98498,35.97473,0
-24.796152,23.692337,0
-29.740904,-7.7265897,0
-1.9423548,8.520153,0
-11.31049,-29.286373,0
44.958355,8.977202,1
-0.6860231,-18.750978,0
-26.639101,-11.892491,0
-28.560291,-11.968171,0
-18.277277,-3.5788486,0
-3.0532546,-1.0502318,0
53.491707,14.391524,1
4.5794206,-7.0161304,1
-22.598894,-18.756992,0
41.887238,-29.009285,1
-18.905937,-24.592667,0
-30.680445,25.35449,0
-41.27268,23.808886,0
-44.322643,30.867594,0
-42.523018,-18.950941,0
18.714664,3.8685205,1
0.9867095,-40.624992,0
33.459106,-21.438835,1
-23.091572,40.203278,0
13.25718,5.013183,1
54.739094,12.677682,1
-7.782914,-42.715862,0
36.845695,24.714031,1
-20.537544,-27.856567,0
54.376087,-28.272234,1
12.211817,-5.318734,1
11.6946125,-2.901786,1
4.1828275,-11.80073,0
-1.9858011,-17.433754,0
6.7738338,18.62793,1
-52.037567,29.022552,0
-27.891335,-34.87983,0
-54.434177,25.045809,0
-8.829998,11.0497265,0
-42.81219,33.217392,0
-18.452084,2.1681068,0
-0.1820492,-13.639311,0
-29.533573,-9.551942,0
33.216324,26.71624,1
-20.519386,33.038544,0
-29.589016,39.412132,0
-37.739273,27.90854,0
-19.308725,40.55189,0
-21.483776,49.18267,0
-1.6952418,10.535868,0
-49.62583,27.929335,0
0.03870032,-41.05622,0
-23.676971,-17.75629,0
-39.32566,23.890713,0
55.595406,6.1611495,1
10.346754,-15.44074,1
11.753059,30.125599,1
-1.6344545,-33.01091,0
-33.135357,-4.6079206,0
52.959755,12.424525,1
44.317173,-28.276491,1
-18.366936,-29.962618,0
28.950998,-29.876637,1
-36.746407,-13.707897,0
-34.81836,-42.220245,0
-37.267773,22.551674,0
-34.74794,-11.632723,0
-30.781672,-2.0954237,0
-35.41258,-37.519142,0
10.585864,6.510464,1
41.9305,-24.313766,1
-7.1297297,29.303736,1
-22.530148,43.23204,0
-18.999424,4.37498,0
-18.70251,-18.285858,0
-53.987816,36.17702,0
-38.16652,-7.2250576,0
65.3809,3.4086542,1
0.7182532,-38.468647,0
3.2322578,-34.80921,1
-34.382767,-36.11266,0
-55.847816,39.614067,0
32.956333,-8.260734,1
-14.006704,40.16178,0
-51.730476,37.887646,0
-6.6039047,-26.514696,0
-55.65681,26.893393,0
2.7263582,-1.3891994,0
-0.65645176,4.466275,0
-0.93217736,-38.61196,0
61.66637,3.8762586,1
-23.964476,-33.042732,0
52.548214,3.6791208,1
-27.215046,-5.040472,0
23.082775,1.7330655,1
15.843787,16.829826,1
-25.678118,43.19035,0
-22.62738,4.339487,0
22.772993,10.759395,1
35.43985,-29.890812,1
11.694547,-2.9016855,1
-4.7863374,-43.13278,0
48.078915,-18.501862,1
-57.762238,37.949818,0
34.82201,-14.093626,1
11.2631645,-12.058666,1
16.87308,15.99971,1
36.257195,20.686382,1
10.3505535,2.1835818,1
37.911304,-26.632734,1
18.590548,16.851166,1
0.77101487,23.15057,1
58.728443,4.648236,1
-17.723133,40.64786,0
53.853043,18.708418,1
1.1264426,-13.647401,0
13.839141,-1.5987033,1
1.07702,4.0952964,1
65.10989,10.489933,1
-40.29709,-7.4193425,0
13.9977255,14.229184,1
-5.1485457,-22.571774,0
-5.084629,7.7022977,0
-6.074717,-29.688082,0
-7.746162,-13.860521,0
2.1407263,-38.6487,0
18.223196,-11.085841,1
-21.508162,51.452045,0
8.919196,9.829348,1
-20.67786,-42.972748,0
16.992336,0.8114953,1
-0.56886894,-46.436867,0
-3.1898687,-40.397583,0
-1.5735697,-40.833942,0
-29.548948,-34.187183,0
-32.46374,-15.141609,0
-33.170147,-36.6587,0
-23.80023,25.188496,0
15.5834,5.8185287,1
-7.125619,31.150454,0
4.0591917,-3.6388779,1
16.009901,-3.1386492,1
5.2047787,15.98505,1
-44.54172,22.35727,0
22.85143,26.35914,1
47.111786,-30.206839,1
-20.155556,6.281346,0
51.337845,-33.290802,1
23.645102,5.441154,1
35.101055,-5.871506,1
9.188416,-40.984253,1
-6.6683965,-13.489263,0
43.55923,-29.132631,1
13.206326,3.5233562,1
53.98291,-14.319036,1
15.25048,-20.826464,1
59.930576,13.953143,1
31.797478,-27.35312,1
6.2077374,25.678118,1
42.753757,-26.850515,1
-5.8608823,-16.644072,0
-7.524362,-40.122814,0
-33.322384,29.632408,0
-25.53873,22.894506,0
-13.85855,-47.515194,0
-30.648077,40.735832,0
31.467476,-10.720481,1
43.457413,10.715254,1
21.654524,3.5572827,1
-2.1983092,30.413855,1
27.232658,26.382162,1
59.85985,15.896918,1
-14.237944,-1.6422247,0
32.922478,30.200024,1
-16.069052,-30.313137,0
7.4354224,11.5792465,1
33.839737,21.711582,1
-45.30963,-23.090296,0
-31.551449,-32.756153,0
12.375696,9.6486225,1
-35.035984,-5.5874805,0
33.266754,-10.803789,1
-8.364548,-4.1471715,0
56.311996,-22.713915,1
50.624844,9.044191,1
-31.200455,-6.5380282,0
12.009065,15.062732,1
-46.076733,23.638033,0
24.790892,-4.628068,1
34.669033,3.4528513,1
-26.831411,-20.308258,0
39.377926,-20.524513,1
-39.8689,-0.59905183,0
-15.904125,-21.296919,0
57.206036,0.7449468,1
49.951733,-31.597668,1
-14.40769,47.028698,0
49.196613,15.155781,1
-49.347103,23.780157,0
-10.355192,42.20366,0
-1.6961424,38.4438,0
-15.771499,47.203186,0
35.691383,28.168804,1
62.364826,8.734912,1
24.006172,3.1848078,1
3.019875,-17.197983,1
-32.74719,-33.271717,0
25.127258,-3.165873,1
21.399038,-3.450023,1
-27.593405,38.066956,0
-50.25857,41.82698,0
-26.68635,-8.0343685,0
65.90551,4.1260786,1
55.3154,-0.9549771,1
-30.325333,-16.197294,0
51.429356,-31.162062,1
-46.60207,-21.048471,0
43.554974,10.583479,1
40.055523,-28.121767,1
9.391985,-15.974913,1
16.992603,0.8123715,1
49.371098,20.723661,1
46.84391,-9.461836,1
49.31553,-14.078613,1
18.27867,15.855673,1
4.542223,19.20011,1
-14.726181,-18.335012,0
-9.274597,-17.052538,0
-34.347305,-15.441697,0
-2.6023526,30.182735,1
48.490025,-21.362906,1
-44.668568,-22.274544,0
39.976753,-30.966772,1
-8.292186,-12.551343,0
51.335125,-20.427279,1
40.34894,-6.1930637,1
-7.961979,-19.419312,0
-0.8822781,6.616347,1
9.124018,-6.408662,1
36.993114,-22.764156,1
-8.60761,44.485672,0
-29.76602,36.11489,0
-41.367054,-31.361633,0
-52.92017,30.327307,0
-19.918745,-9.183448,0
40.70295,-30.458529,1
-44.058002,30.176865,0
26.929588,-6.4529896,1
46.269253,-28.570444,1
-41.227974,24.744295,0
-24.401386,-30.138704,0
-26.626266,-28.958113,0
-32.729424,-36.377876,0
-40.11648,-5.126966,0
-40.690506,40.74651,0
4.5655475,24.228392,1
12.642832,31.908627,0
-10.384809,14.256443,0
39.35377,-22.848785,1
52.636753,5.5124693,1
-4.7023215,-42.910034,0
-23.194975,29.84191,0
-5.879321,-17.138042,0
7.8770423,-34.95149,1
23.833942,7.735006,1
14.917934,19.170029,1
49.636833,-15.961569,1
-28.269527,-12.560146,0
0.39548242,-6.6799073,1
-53.225517,31.177086,0
-32.584263,42.817543,0
32.595566,-20.554699,1
28.987278,31.955769,1
-13.166178,38.99228,0
-9.821629,-23.500502,0
4.9487886,-11.33321,1
-1.050628,44.65915,0
26.813246,-6.673995,1
-7.04739,-47.85962,0
-36.503834,-9.139433,0
31.455395,-29.323278,1
8.720229,3.0573897,1
53.37318,-28.572172,1
10.213162,-9.343042,1
-47.927666,33.274525,0
12.8291235,-34.91306,1
19.50667,5.9425426,1
-31.380651,-10.326312,0
53.949127,13.74695,1
-31.396095,-10.520529,0
44.19578,8.342535,1
0.9868909,-40.62447,0
36.845695,24.714031,1
21.677404,9.555101,1
36.815388,29.232996,1
-52.02163,37.8107,0
26.945389,4.283923,1
-27.739597,-30.709656,0
-49.390762,30.581356,0
58.356255,-14.686162,1
-2.0325415,32.823193,1
-33.918415,-15.018945,0
-44.91901,39.111847,0
8.697044,1.7288855,1
-5.0556903,-0.24221882,0
52.60972,-13.372267,1
-27.381575,-35.080357,0
27.0005,21.891256,1
-34.090687,29.470942,0
-1.7147912,-3.743018,0
-36.095737,-18.15646,0
-28.468554,0.5000106,0
32.409554,-26.31015,1
61.371426,15.114038,1
53.07186,-20.493034,1
12.0800495,8.822068,1
-6.5014863,-12.917347,0
-40.13406,42.537056,0
-3.4003408,-0.35781002,0
13.950238,-7.348631,1
51.307003,6.8996377,1
-43.73084,16.964663,0
12.077429,31.436684,1
11.553277,19.794308,1
-27.110239,-28.07005,0
0.7985326,34.295067,1
-33.364616,39.30861,0
53.299843,16.235466,1
-21.323023,-13.77358,0
-15.294186,38.10154,0
-8.511384,-53.03136,0
-15.893361,11.37059,0
-6.835907,-1.9744967,0
2.9242496,-5.9309554,1
-0.90985626,1.1973126,0
-48.83107,35.27045,0
3.8301158,-6.409044,1
-30.018915,-4.443772,0
57.390278,15.791966,1
35.585087,20.02119,1
-27.927729,-13.822402,0
-26.460754,30.954966,0
17.479687,-1.994228,1
59.92978,3.107654,1
-13.821969,42.353294,0
-34.37161,-0.29927725,0
32.447765,-21.687263,1
-25.753708,1.2772323,0
-43.578182,-17.90158,0
-36.798897,-4.0662093,0
